127.0.0.1, 2024-01-09 11:53:42, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.025083
127.0.0.1, 2024-01-09 11:53:43, GET, /admin/default/edit/sistemaGestionEscolar/views/salones_controlador/admin_salones.html, HTTP/1.1, 200, 0.038220
127.0.0.1, 2024-01-09 11:53:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.025953
127.0.0.1, 2024-01-09 11:53:43, GET, /admin/default/edit/sistemaGestionEscolar/views/salones_controlador/salones.html, HTTP/1.1, 200, 0.032120
127.0.0.1, 2024-01-09 11:53:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.030839
127.0.0.1, 2024-01-09 11:53:46, GET, /sistemaGestionEscolar/materias_controlador/admin_materias, HTTP/1.1, 200, 1.062943
127.0.0.1, 2024-01-09 11:53:48, GET, /sistemaGestionEscolar/materias_controlador/materias, HTTP/1.1, 200, 0.668419
127.0.0.1, 2024-01-09 11:53:49, GET, /sistemaGestionEscolar/salones_controlador/admin_salones, HTTP/1.1, 200, 0.806994
127.0.0.1, 2024-01-09 11:53:50, GET, /sistemaGestionEscolar/salones_controlador/salones, HTTP/1.1, 200, 0.527073
127.0.0.1, 2024-01-09 11:54:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.171790
127.0.0.1, 2024-01-09 11:54:28, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.265619
127.0.0.1, 2024-01-09 11:55:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.187402
127.0.0.1, 2024-01-09 11:55:28, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.265637
127.0.0.1, 2024-01-09 11:56:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.605829
127.0.0.1, 2024-01-09 11:56:29, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.945315
127.0.0.1, 2024-01-09 11:57:27, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.281269
127.0.0.1, 2024-01-09 11:57:27, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.312519
127.0.0.1, 2024-01-09 11:58:28, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.337005
127.0.0.1, 2024-01-09 11:58:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.362962
127.0.0.1, 2024-01-09 12:00:31, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.035261
127.0.0.1, 2024-01-09 12:00:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.286857
127.0.0.1, 2024-01-09 12:01:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062479
127.0.0.1, 2024-01-09 12:01:31, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.093736
127.0.0.1, 2024-01-09 12:02:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062417
127.0.0.1, 2024-01-09 12:02:32, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.123701
127.0.0.1, 2024-01-09 12:03:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070806
127.0.0.1, 2024-01-09 12:03:33, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.117674
127.0.0.1, 2024-01-09 12:04:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062416
127.0.0.1, 2024-01-09 12:04:34, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.093730
127.0.0.1, 2024-01-09 12:05:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046867
127.0.0.1, 2024-01-09 12:05:35, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.109389
127.0.0.1, 2024-01-09 12:06:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062416
127.0.0.1, 2024-01-09 12:06:36, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.121879
127.0.0.1, 2024-01-09 12:07:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062416
127.0.0.1, 2024-01-09 12:07:37, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.124932
127.0.0.1, 2024-01-09 12:08:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062396
127.0.0.1, 2024-01-09 12:08:38, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.130165
127.0.0.1, 2024-01-09 12:09:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059863
127.0.0.1, 2024-01-09 12:09:39, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.113920
127.0.0.1, 2024-01-09 12:10:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062417
127.0.0.1, 2024-01-09 12:10:40, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.238819
127.0.0.1, 2024-01-09 12:11:41, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049345
127.0.0.1, 2024-01-09 12:11:41, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.107825
127.0.0.1, 2024-01-09 12:12:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078074
127.0.0.1, 2024-01-09 12:12:42, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.119360
127.0.0.1, 2024-01-09 12:13:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078123
127.0.0.1, 2024-01-09 12:13:43, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.140613
127.0.0.1, 2024-01-09 12:14:05, GET, /admin/default/edit/sistemaGestionEscolar/modules/repository.py, HTTP/1.1, 200, 1.438116
127.0.0.1, 2024-01-09 12:14:07, GET, /admin/default/edit/sistemaGestionEscolar/views/estudiante_controlador/estudiante.html, HTTP/1.1, 200, 0.064812
127.0.0.1, 2024-01-09 12:14:07, GET, /admin/static/_2.27.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.127822
127.0.0.1, 2024-01-09 12:14:07, GET, /admin/static/_2.27.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.363045
127.0.0.1, 2024-01-09 12:14:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-01-09 12:14:08, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.342446
